Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
Dopaminergic and Cholinergic Modulation of Large Scale Networks in silico Using Snudda,"Snudda allows for large-scale simulations of neuromodulation in detailed neuron models, enabling detailed investigations of neuromodulation in large scale networks.","Johanna Frost Nylén, J. J. J. Hjorth, S. Grillner, Jeanette Hellgren Kotaleski",2021,4,"Neuromodulation is present throughout the nervous system and serves a critical role for circuit function and dynamics. The computational investigations of neuromodulation in large scale networks require supportive software platforms.is a software for the creation and simulation of large scale networks of detailed microcircuits consisting of multicompartmental neuron models. We have developed an extension toto incorporate neuromodulation in large scale simulations. The extendedframework implements neuromodulation at the level of single cells incorporated into large-scale microcircuits. We also developed, a software for optimizing neuromodulation in detailed multicompartmental neuron models. The software adds parameters within the models modulating the conductances of ion channels and ionotropic receptors. Bath application of neuromodulators is simulated and models which reproduce the experimentally measured effects are selected. In, we developed an extension to accommodate large scale simulations of neuromodulation. The simulator has two modes of simulation - denotedand. In themode, transient levels of neuromodulators can be defined as a time-varying function which modulates the receptors and ion channels within the network in a cell-type specific manner. In themode, spiking neuromodulatory neurons are connected via integrative modulating mechanisms to ion channels and receptors. Both modes of simulating neuromodulation allow for simultaneous modulation by several neuromodulators that can interact dynamically with each other. Here, we used thesoftware to simulate dopaminergic and muscarinic modulation of neurons from the striatum. We also demonstrate how to simulate different neuromodulatory states with dopamine and acetylcholine usingAll software is freely available on Github, including tutorials onand",,Frontiers in Neural Circuits,1,10.3389/fncir.2021.748989,https://consensus.app/papers/dopaminergic-and-cholinergic-modulation-of-large-scale-nyl%C3%A9n-hjorth/6bb4418230305a209e49532e113c1ab7/
The neuropeptidergic connectome of C. elegans,"The C. elegans neuropeptidergic connectome reveals a complex, decentralized network with key hubs specialized for peptidergic neuromodulation.","Lidia Ripoll-Sánchez, Jan Watteyne, Haosheng Sun, Robert W. Fernandez, Seth R. Taylor, Alexis Weinreb, Marc Hammarlund, David M. Miller, O. Hobert, Isabel Beets, P. Vértes, W. Schafer",2022,107,,,Neuron,1,10.1016/j.neuron.2023.09.043,https://consensus.app/papers/the-neuropeptidergic-connectome-of-c-elegans-ripoll-s%C3%A1nchez-watteyne/982d6452689d57c2bf72ccc0884524cb/
Holographic transcranial ultrasound neuromodulation enhances stimulation efficacy by cooperatively recruiting distributed brain circuits.,"Holographic transcranial ultrasound neuromodulation enhances stimulation efficacy by cooperatively recruiting distributed brain circuits, allowing precise spatio-temporal control and monitoring of effects.","Héctor Estrada, Yiming Chen, Théo Lemaire, Neda Davoudi, Ali Özbek, Q. Parduzi, Shy Shoham, Daniel Razansky",2025,6,"Precision-targeted ultrasonic neuromodulation offers immense potential for studying brain function and treating neurological diseases. Yet, its application has been limited by challenges in achieving precise spatio-temporal control and monitoring of ultrasound effects on brain circuits. Here we show that transcranial ultrasound elicits direct and highly focal responses, which can be dynamically steered at spatio-temporal scales relevant for neural function. Furthermore, holographic transcranial ultrasound stimulation allows direct control of the stimulated volume and actively modulates local and mid-range network projections, effectively lowering the activation threshold by an order of magnitude. To better understand this previously unexplored excitability regime not fully explained by the conventional pressure-frequency dyad, we developed a dual modelling framework, where both an empirical and a mechanistic model were constructed to capture the intricacies of holographic transcranial ultrasound stimulation. These models achieve qualitative agreement with our experimental results, suggesting that these findings are predominantly driven by putative network interactions. Our results bring insight on the complex interaction mechanisms of ultrasound with neural tissue and highlight its potential for the noninvasive interfacing of distributed brain networks.",,Nature biomedical engineering,1,10.1038/s41551-025-01449-x,https://consensus.app/papers/holographic-transcranial-ultrasound-neuromodulation-estrada-chen/2be0797f33695dd98220dd4e46e96e70/
Network targets for therapeutic brain stimulation: towards personalized therapy for pain,Network-level estimates are a more reliable and valid method for stratifying personalized brain stimulation targets for chronic pain relief.,"Julian C. Motzkin, I. Kanungo, M. D’Esposito, P. Shirvalkar",2023,16,"Precision neuromodulation of central brain circuits is a promising emerging therapeutic modality for a variety of neuropsychiatric disorders. Reliably identifying in whom, where, and in what context to provide brain stimulation for optimal pain relief are fundamental challenges limiting the widespread implementation of central neuromodulation treatments for chronic pain. Current approaches to brain stimulation target empirically derived regions of interest to the disorder or targets with strong connections to these regions. However, complex, multidimensional experiences like chronic pain are more closely linked to patterns of coordinated activity across distributed large-scale functional networks. Recent advances in precision network neuroscience indicate that these networks are highly variable in their neuroanatomical organization across individuals. Here we review accumulating evidence that variable central representations of pain will likely pose a major barrier to implementation of population-derived analgesic brain stimulation targets. We propose network-level estimates as a more valid, robust, and reliable way to stratify personalized candidate regions. Finally, we review key background, methods, and implications for developing network topology-informed brain stimulation targets for chronic pain.",literature review,Frontiers in Pain Research,1,10.3389/fpain.2023.1156108,https://consensus.app/papers/network-targets-for-therapeutic-brain-stimulation-motzkin-kanungo/ad620819b92b56838e766fb8190543f5/
Insights and opportunities for deep brain stimulation as a brain circuit intervention,"Deep brain stimulation (DBS) effectively treats movement disorders by modulating brain circuits, offering insights into their pathophysiology and potential for personalized, network-specific interventions.","W. Neumann, A. Horn, A. Kühn",2023,47,,,Trends in Neurosciences,1,10.1016/j.tins.2023.03.009,https://consensus.app/papers/insights-and-opportunities-for-deep-brain-stimulation-as-a-neumann-horn/3682627a61445ac2aeb2bf9c9f411c9b/
Neuromodulation techniques – From non-invasive brain stimulation to deep brain stimulation,"Neuromodulation techniques, both non-invasive and invasive, have advanced over the past 30 years, influencing the central nervous system and often being adopted into standard care treatments.","Benjamin Davidson, Amitabh Bhattacharya, C. Sarica, G. Darmani, N. Raies, Robert Chen, Andres M. Lozano",2024,63,,,Neurotherapeutics,1,10.1016/j.neurot.2024.e00330,https://consensus.app/papers/neuromodulation-techniques-%E2%80%93-from-noninvasive-brain-davidson-bhattacharya/b76bcc4906d85e7883a6838bef4bf354/
Neural Networks and Connectivity among Brain Regions,"Brain functioning depends on the interaction among various neural populations, which are linked via complex connectivity circuits and work together to exchange information, synchronize activity, adapt plastically to external stimuli or internal requirements, and participate in solving multifaceted cognitive tasks.","M. Ursino, E. Magosso, M. Petti",2022,1,"As is widely understood, brain functioning depends on the interaction among several neural populations, which are linked via complex connectivity circuits and work together (in antagonistic or synergistic ways) to exchange information, synchronize their activity, adapt plastically to external stimuli or internal requirements, and more generally to participate in solving multifaceted cognitive tasks [...].",,Brain Sciences,2,10.3390/brainsci12030346,https://consensus.app/papers/neural-networks-and-connectivity-among-brain-regions-ursino-magosso/fb38a00aab3f5b82a35a96bb1d6dc38d/
Cellular circuits in the brain and their modulation in acute and chronic pain.,Recent advances in understanding neural circuits in the brain can help design and improve targeted therapies for acute and chronic pain.,"R. Kuner, T. Kuner",2020,269,"Chronic, pathological pain remains a global health problem and a challenge to basic and clinical sciences. A major obstacle to preventing, treating, or reverting chronic pain has been that the nature of neural circuits underlying the diverse components of the complex, multidimensional experience of pain is not well understood. Moreover, chronic pain involves diverse maladaptive plasticity processes, which have not been decoded mechanistically in terms of involvement of specific circuits and cause-effect relationships. This review aims to discuss recent advances in our understanding of circuit connectivity in the mammalian brain at the level of regional contributions and specific cell types in acute and chronic pain. A major focus is placed on functional dissection of sub-neocortical brain circuits using optogenetics, chemogenetics, and imaging technological tools in rodent models with a view towards decoding sensory, affective, and motivational-cognitive dimensions of pain. The review summarizes recent breakthroughs and insights on structure-function properties in nociceptive circuits and higher order sub-neocortical modulatory circuits involved in aversion, learning, reward, and mood and their modulation by endogenous GABAergic inhibition, noradrenergic, cholinergic, dopaminergic, serotonergic, and peptidergic pathways. The knowledge of neural circuits and their dynamic regulation via functional and structural plasticity will be beneficial towards designing and improving targeted therapies.",,Physiological reviews,1,10.1152/physrev.00040.2019,https://consensus.app/papers/cellular-circuits-in-the-brain-and-their-modulation-in-kuner-kuner/48d32573c29c54d7a4ecbf4cbbd47e3c/
Design of Pinning Control Strategies of Different Neural Population Networks for Neuromodulation Research,"This paper presents a method for modulating brain dynamics in neural population networks, aiding in the development of more effective treatment plans for neurological and psychiatric diseases.","Chengxia Sun, Lijun Geng, Hongju Lin, Yuquan Ma, Xian Liu, Jianjiang Li",2024,1,"In order to comply with the development trend of the “Brain Project”, China has listed the neural basis for explaining cognitive function as a core pillar, emphasizing the investment of resources and research capabilities into urgent social needs such as early diagnosis and intervention treatment of neurological and psychiatric diseases. The control scheme proposed on the basis of neural computational models can predict changes in brain dynamics induced by neurostimulation, which helps to develop more effective treatment plans for neurological and psychiatric diseases, while reducing the risk of brain damage and secondary injury that may result from direct animal experiments or clinical trials. The paper presents such a theoretical method for modulating brain dynamics based on the concept of pinning control from complex network control theory to suppress spikes generated by neural population networks affected by measurement noise. The main issues to be addressed of the work include: how to select driving nodes (the locations where need to exert neurostimulation) to better ensure the effectiveness of pinning strategies for neural population networks with different topologies? What are relationships among control gain, control energy, coupling strength and the number of driving nodes while ensuring the effectiveness of control strategies? To solve these problems, firstly, based on the Wendling-type neural population model, graph theory and complex network theory are applied to construct neural population networks with “nearest-neighbor”, “scale-free” and “small-world” topologies, respectively. Then, different pinning control strategies are designed to modulate the brain dynamics simulated by the established network models according to the degree distribution, and better strategies are determined through simulation experiments. The local control adopts the output-feedback method based on the fuzzy regulator and cubature Kalman filter algorithm. Finally, the effects of coupling strength and number of driving nodes on control gain amplitude and control energy are studied using analytical and statistical methods. This work provides new ideas for the development of neuromodulation strategies in the treatment of neurological and psychiatric diseases, and is expected to play a potential role in future clinical applications.",,IEEE Access,1,10.1109/access.2024.3412684,https://consensus.app/papers/design-of-pinning-control-strategies-of-different-neural-sun-geng/a6a5a3ffa5e85a49a3b5896cc4c6d8f9/
Modelling and prediction of the dynamic responses of large-scale brain networks during direct electrical stimulation,"Dynamic input-output models can accurately predict brain network dynamics during direct electrical stimulation, potentially enabling precise neuromodulation for disease treatment and facilitating investigation of large-scale brain networks.","Yuxiao Yang, Shaoyu Qiao, Omid G. Sani, J. Sedillo, B. Ferrentino, Bijan Pesaran, Maryam Shanechi",2021,58,"Direct electrical stimulation can modulate the activity of brain networks for the treatment of several neurological and neuropsychiatric disorders and for restoring lost function. However, precise neuromodulation in an individual requires the accurate modelling and prediction of the effects of stimulation on the activity of their large-scale brain networks. Here, we report the development of dynamic input-output models that predict multiregional dynamics of brain networks in response to temporally varying patterns of ongoing microstimulation. In experiments with two awake rhesus macaques, we show that the activities of brain networks are modulated by changes in both stimulation amplitude and frequency, that they exhibit damping and oscillatory response dynamics, and that variabilities in prediction accuracy and in estimated response strength across brain regions can be explained by an at-rest functional connectivity measure computed without stimulation. Input-output models of brain dynamics may enable precise neuromodulation for the treatment of disease and facilitate the investigation of the functional organization of large-scale brain networks.",non-rct experimental,Nature Biomedical Engineering,1,10.1038/s41551-020-00666-w,https://consensus.app/papers/modelling-and-prediction-of-the-dynamic-responses-of-yang-qiao/0a22bcfe1fba5d97a6a16fbcd37db15a/
Modular Brain Networks.,"Modules in brain networks can play a role in brain evolution, wiring minimization, and functional specialization, with various community detection methods available in network neuroscience.","O. Sporns, Richard F. Betzel",2016,1192,"The development of new technologies for mapping structural and functional brain connectivity has led to the creation of comprehensive network maps of neuronal circuits and systems. The architecture of these brain networks can be examined and analyzed with a large variety of graph theory tools. Methods for detecting modules, or network communities, are of particular interest because they uncover major building blocks or subnetworks that are particularly densely connected, often corresponding to specialized functional components. A large number of methods for community detection have become available and are now widely applied in network neuroscience. This article first surveys a number of these methods, with an emphasis on their advantages and shortcomings; then it summarizes major findings on the existence of modules in both structural and functional brain networks and briefly considers their potential functional roles in brain evolution, wiring minimization, and the emergence of functional specialization and complex dynamics.",,Annual review of psychology,1,10.1146/annurev-psych-122414-033634,https://consensus.app/papers/modular-brain-networks-sporns-betzel/dd56923f6af75ad2b5e8235a9a74a44d/
Neurostimulation stabilizes spiking neural networks by disrupting seizure-like oscillatory transitions,"Neurostimulation can stabilize neural networks by disrupting seizure-like oscillatory transitions, potentially aiding in the treatment of epilepsy.","Scott Rich, A. Hutt, F. Skinner, T. Valiante, J. Lefebvre",2020,26,"An improved understanding of the mechanisms underlying neuromodulatory approaches to mitigate seizure onset is needed to identify clinical targets for the treatment of epilepsy. Using a Wilson-Cowan-motivated network of inhibitory and excitatory populations, we examined the role played by intrinsic and extrinsic stimuli on the network's predisposition to sudden transitions into oscillatory dynamics, similar to the transition to the seizure state. Our joint computational and mathematical analyses revealed that such stimuli, be they noisy or periodic in nature, exert a stabilizing influence on network responses, disrupting the development of such oscillations. Based on a combination of numerical simulations and mean-field analyses, our results suggest that high variance and/or high frequency stimulation waveforms can prevent multi-stability, a mathematical harbinger of sudden changes in network dynamics. By tuning the neurons' responses to input, stimuli stabilize network dynamics away from these transitions. Furthermore, our research shows that such stabilization of neural activity occurs through a selective recruitment of inhibitory cells, providing a theoretical undergird for the known key role these cells play in both the healthy and diseased brain. Taken together, these findings provide new vistas on neuromodulatory approaches to stabilize neural microcircuit activity.",,Scientific Reports,1,10.1038/s41598-020-72335-6,https://consensus.app/papers/neurostimulation-stabilizes-spiking-neural-networks-by-rich-hutt/1500918a2cee5459957c6e172c6676b5/
Integrating direct electrical brain stimulation with the human connectome,"Integrating direct electrical stimulation with the human connectome significantly improves functional mapping of brain functions, enabling patient-specific therapy development and neuromodulation targeting.","L. Coletta, Paolo Avesani, Luca Zigiotto, Martina Venturini, Luciano Annicchiarico, Laura Vavassori, S. Ng, H. Duffau, S. Sarubbo",2023,18,"Neurological and neurodevelopmental conditions are a major public health concern for which new therapies are urgently needed. The development of effective therapies relies on the precise mapping of the neural substrates causally involved in behaviour generation. Direct electrical stimulation (DES) performed during cognitive and neurological monitoring in awake surgery is currently considered the gold standard for the causal mapping of brain functions. However, DES is limited by the focal nature of the stimulation sites, hampering a real holistic exploration of human brain functions at the network level. We used 4137 DES points derived from 612 glioma patients in combination with human connectome data-resting-state functional MRI, n = 1000 and diffusion weighted imaging, n = 284-to provide a multimodal description of the causal macroscale functional networks subtending 12 distinct behavioural domains. To probe the validity of our procedure, we (i) compared the network topographies of healthy and clinical populations; (ii) tested the predictive capacity of DES-derived networks; (iii) quantified the coupling between structural and functional connectivity; and (iv) built a multivariate model able to quantify single subject deviations from a normative population. Lastly, we probed the translational potential of DES-derived functional networks by testing their specificity and sensitivity in identifying critical neuromodulation targets and neural substrates associated with postoperative language deficits. The combination of DES and human connectome data resulted in an average 29.4-fold increase in whole brain coverage compared to DES alone. DES-derived functional networks are predictive of future stimulation points (97.8% accuracy) and strongly supported by the anatomical connectivity of subcortical stimulations. We did not observe any significant topographical differences between the patients and the healthy population at both group and single subject level. Showcasing concrete clinical applications, we found that DES-derived functional networks overlap with effective neuromodulation targets across several functional domains, show a high degree of specificity when tested with the intracranial stimulation points of a different stimulation technique and can be used effectively to characterize postoperative behavioural deficits. The integration of DES with the human connectome fundamentally advances the quality of the functional mapping provided by DES or functional imaging alone. DES-derived functional networks can reliably predict future stimulation points, have a strong correspondence with the underlying white matter and can be used for patient specific functional mapping. Possible applications range from psychiatry and neurology to neuropsychology, neurosurgery and neurorehabilitation.",non-rct observational study,Brain,,10.1093/brain/awad402,https://consensus.app/papers/integrating-direct-electrical-brain-stimulation-with-the-coletta-avesani/ad854e3469be5347bafde569aad0f3e5/
Networking brainstem and basal ganglia circuits for movement,"The brainstem and basal ganglia play a crucial role in processing motor information, supporting behavioral specificity and providing a substrate for behavioral flexibility.","S. Arber, Rui M. Costa",2022,142,"The execution and learning of diverse movements involve neuronal networks distributed throughout the nervous system. The brainstem and basal ganglia are key for processing motor information. Both harbour functionally specialized populations stratified on the basis of axonal projections, synaptic inputs and gene expression, revealing a correspondence between circuit anatomy and function at a high level of granularity. Neuronal populations within both structures form multistep processing chains dedicated to the execution of specific movements; however, the connectivity and communication between these two structures is only just beginning to be revealed. The brainstem and basal ganglia are also embedded into wider networks and into systems-level loops. Important networking components include broadcasting neurons in the cortex, cerebellar output neurons and midbrain dopaminergic neurons. Action-specific circuits can be enhanced, vetoed, work in synergy or competition with others, or undergo plasticity to allow adaptive behaviour. We propose that this highly specific organization of circuits in the motor system is a core ingredient for supporting behavioural specificity, and at the same time for providing an adequate substrate for behavioural flexibility.",,Nature Reviews Neuroscience,1,10.1038/s41583-022-00581-w,https://consensus.app/papers/networking-brainstem-and-basal-ganglia-circuits-for-arber-costa/efee626aa61755c187f103c630151c5c/
Functional control of electrophysiological network architecture using direct neurostimulation in humans,"Direct neurostimulation can predictably reconfigure functional interactions in brain structures, potentially influencing different scales of network interactions driving cognition.","A. Khambhati, Ari E. Kahn, J. Costantini, Youssef Ezzyat, E. Solomon, R. Gross, B. Jobst, S. Sheth, K. Zaghloul, G. Worrell, S. Seger, B. Lega, S. Weiss, M. Sperling, R. Gorniak, Sandhitsu R. Das, J. Stein, D. Rizzuto, M. Kahana, T. Lucas, K. Davis, J. Tracy, D. Bassett",2019,57,"Chronically implantable neurostimulation devices are becoming a clinically viable option for treating patients with neurological disease and psychiatric disorders. Neurostimulation offers the ability to probe and manipulate distributed networks of interacting brain areas in dysfunctional circuits. Here, we use tools from network control theory to examine the dynamic reconfiguration of functionally interacting neuronal ensembles during targeted neurostimulation of cortical and subcortical brain structures. By integrating multimodal intracranial recordings and diffusion-weighted imaging from patients with drug-resistant epilepsy, we test hypothesized structural and functional rules that predict altered patterns of synchronized local field potentials. We demonstrate the ability to predictably reconfigure functional interactions depending on stimulation strength and location. Stimulation of areas with structurally weak connections largely modulates the functional hubness of downstream areas and concurrently propels the brain towards more difficult-to-reach dynamical states. By using focal perturbations to bridge large-scale structure, function, and markers of behavior, our findings suggest that stimulation may be tuned to influence different scales of network interactions driving cognition.",,Network Neuroscience,1,10.1162/netn_a_00089,https://consensus.app/papers/functional-control-of-electrophysiological-network-khambhati-kahn/a9468b3ef6a45eacbdeb4143a83876b1/
"Neuromodulatory Systems and Their Interactions: A Review of Models, Theories, and Experiments","Neuromodulatory systems play a crucial role in cognitive function and disease, and understanding their interactions may lead to novel treatment strategies for brain disorders.","Michael C. Avery, J. Krichmar",2017,193,"Neuromodulatory systems, including the noradrenergic, serotonergic, dopaminergic, and cholinergic systems, track environmental signals, such as risks, rewards, novelty, effort, and social cooperation. These systems provide a foundation for cognitive function in higher organisms; attention, emotion, goal-directed behavior, and decision-making derive from the interaction between the neuromodulatory systems and brain areas, such as the amygdala, frontal cortex, hippocampus, and sensory cortices. Given their strong influence on behavior and cognition, these systems also play a key role in disease states and are the primary target of many current treatment strategies. The fact that these systems interact with each other either directly or indirectly, however, makes it difficult to understand how a failure in one or more systems can lead to a particular symptom or pathology. In this review, we explore experimental evidence, as well as focus on computational and theoretical models of neuromodulation. Better understanding of neuromodulatory systems may lead to the development of novel treatment strategies for a number of brain disorders.",literature review,Frontiers in Neural Circuits,1,10.3389/fncir.2017.00108,https://consensus.app/papers/neuromodulatory-systems-and-their-interactions-a-review-avery-krichmar/8027508a80be500ca255ad6dc4c2bd05/
Neuromodulation of neurons and synapses,"Neuromodulation enables the flexibility of neural circuit operation and behavior by balancing membrane and synaptic properties, targeting ion channel and synaptic dynamics at various timescales.","F. Nadim, Dirk Bucher",2014,298,,,Current Opinion in Neurobiology,1,10.1016/j.conb.2014.05.003,https://consensus.app/papers/neuromodulation-of-neurons-and-synapses-nadim-bucher/b6e34e57955c57c6985ae74a0a14db74/
Molecular organization of neuronal cell types and neuromodulatory systems in the zebrafish telencephalon,"Neuronal cell types in the zebrafish telencephalon are subject to multiple monoaminergic systems and distinct combinations of neuropeptides, with different neuromodulatory systems acting in combination but with unequal weights.","Lukas Anneser, Chie Satou, H. Hotz, Rainer W. Friedrich",2023,14,,non-rct in vitro,Current Biology,1,10.1016/j.cub.2023.12.003,https://consensus.app/papers/molecular-organization-of-neuronal-cell-types-and-anneser-satou/65d055d7053657e6adb51a163327c62d/
Structural Features of the Human Connectome That Facilitate the Switching of Brain Dynamics via Noradrenergic Neuromodulation,"Targeting nodes with greater connection strengths or belonging to the rich club-meso-scale features of the human connectome facilitates transitions between segregated and integrated brain states, promoting richer brain dynamics.","Carlos Coronel-Oliveros, Samy Castro, R. Cofré, P. Orio",2021,15,"The structural connectivity of human brain allows the coexistence of segregated and integrated states of activity. Neuromodulatory systems facilitate the transition between these functional states and recent computational studies have shown how an interplay between the noradrenergic and cholinergic systems define these transitions. However, there is still much to be known about the interaction between the structural connectivity and the effect of neuromodulation, and to what extent the connectome facilitates dynamic transitions. In this work, we use a whole brain model, based on the Jasen and Rit equations plus a human structural connectivity matrix, to find out which structural features of the human connectome network define the optimal neuromodulatory effects. We simulated the effect of the noradrenergic system as changes in filter gain, and studied its effects related to the global-, local-, and meso-scale features of the connectome. At the global-scale, we found that the ability of the network of transiting through a variety of dynamical states is disrupted by randomization of the connection weights. By simulating neuromodulation of partial subsets of nodes, we found that transitions between integrated and segregated states are more easily achieved when targeting nodes with greater connection strengths-local feature-or belonging to the rich club-meso-scale feature. Overall, our findings clarify how the network spatial features, at different levels, interact with neuromodulation to facilitate the switching between segregated and integrated brain states and to sustain a richer brain dynamics.",,Frontiers in Computational Neuroscience,3,10.3389/fncom.2021.687075,https://consensus.app/papers/structural-features-of-the-human-connectome-that-coronel-oliveros-castro/b49ab2ae5bbb51b59089493d65dcedee/
Neuromodulation for treatment-resistant depression: Functional network targets contributing to antidepressive outcomes,"Neuromodulation approaches for treatment-resistant depression likely impact shared networks and critical nodes, and personalized connectome-guided target identification can guide optimal treatment strategies.","Shaquia Idlett-Ali, Claudia A Salazar, Mark S Bell, E. Short, Nathan Rowland",2023,19,"Non-invasive brain stimulation is designed to target accessible brain regions that underlie many psychiatric disorders. One such method, transcranial magnetic stimulation (TMS), is commonly used in patients with treatment-resistant depression (TRD). However, for non-responders, the choice of an alternative therapy is unclear and often decided empirically without detailed knowledge of precise circuit dysfunction. This is also true of invasive therapies, such as deep brain stimulation (DBS), in which responses in TRD patients are linked to circuit activity that varies in each individual. If the functional networks affected by these approaches were better understood, a theoretical basis for selection of interventions could be developed to guide psychiatric treatment pathways. The mechanistic understanding of TMS is that it promotes long-term potentiation of cortical targets, such as dorsolateral prefrontal cortex (DLPFC), which are attenuated in depression. DLPFC is highly interconnected with other networks related to mood and cognition, thus TMS likely alters activity remote from DLPFC, such as in the central executive, salience and default mode networks. When deeper structures such as subcallosal cingulate cortex (SCC) are targeted using DBS for TRD, response efficacy has depended on proximity to white matter pathways that similarly engage emotion regulation and reward. Many have begun to question whether these networks, targeted by different modalities, overlap or are, in fact, the same. A major goal of current functional and structural imaging in patients with TRD is to elucidate neuromodulatory effects on the aforementioned networks so that treatment of intractable psychiatric conditions may become more predictable and targeted using the optimal technique with fewer iterations. Here, we describe several therapeutic approaches to TRD and review clinical studies of functional imaging and tractography that identify the diverse loci of modulation. We discuss differentiating factors associated with responders and non-responders to these stimulation modalities, with a focus on mechanisms of action for non-invasive and intracranial stimulation modalities. We advance the hypothesis that non-invasive and invasive neuromodulation approaches for TRD are likely impacting shared networks and critical nodes important for alleviating symptoms associated with this disorder. We close by describing a therapeutic framework that leverages personalized connectome-guided target identification for a stepwise neuromodulation paradigm.",literature review,Frontiers in Human Neuroscience,2,10.3389/fnhum.2023.1125074,https://consensus.app/papers/neuromodulation-for-treatmentresistant-depression-idlett-ali-salazar/82fee5ad725d52029fcc8881ac331be6/
Neuromodulation of circuits with variable parameters: single neurons and small circuits reveal principles of state-dependent and robust neuromodulation.,"State-dependent and robust neuromodulation can influence circuit function in single neurons and small circuits, with implications for cellular and circuit function.","E. Marder, Timothy O’Leary, S. Shruti",2014,270,"Neuromodulation underlies many behavioral states and has been extensively studied in small circuits. This has allowed the systematic exploration of how neuromodulatory substances and the neurons that release them can influence circuit function. The physiological state of a network and its level of activity can have profound effects on how the modulators act, a phenomenon known as state dependence. We provide insights from experiments and computational work that show how state dependence can arise and the consequences it can have for cellular and circuit function. These observations pose a general unsolved question that is relevant to all nervous systems: How is robust modulation achieved in spite of animal-to-animal variability and degenerate, nonlinear mechanisms for the production of neuronal and network activity?",,Annual review of neuroscience,1,10.1146/annurev-neuro-071013-013958,https://consensus.app/papers/neuromodulation-of-circuits-with-variable-parameters-marder-o%E2%80%99leary/23bcdb95f9f757a682f6c41d20a0872c/
γ neuromodulations: unraveling biomarkers for neurological and psychiatric disorders,"neuromodulation techniques can improve cognitive function and control seizures in neurological and psychiatric disorders, with potential as biomarkers for enhancing clinical results.","Zhong-Peng Dai, Qiang Wen, Ping Wu, Yan-Ni Zhang, Cai-Lian Fang, Meng-Yuan Dai, Hong-Liang Zhou, Huan Wang, Hao Tang, Si-Qi Zhang, Xiao-Kun Li, Jian-Song Ji, Liu-Xi Chu, Zhou-Guang Wang",2025,3,"γ neuromodulation has emerged as a promising strategy for addressing neurological and psychiatric disorders, particularly in regulating executive and cognitive functions. This review explores the latest neuromodulation techniques, focusing on the critical role of γ oscillations in various brain disorders. Direct γ neuromodulation induces γ-frequency oscillations to synchronize disrupted brain networks, while indirect methods influence γ oscillations by modulating cortical excitability. We investigate how monitoring dynamic features of γ oscillations allows for detailed evaluations of neuromodulation effectiveness. By targeting γ oscillatory patterns and restoring healthy cross-frequency coupling, interventions may alleviate cognitive and behavioral symptoms linked to disrupted communication. This review examines clinical applications of γ neuromodulations, including enhancing cognitive function through 40 Hz multisensory stimulation in Alzheimer's disease, improving motor function in Parkinson's disease, controlling seizures in epilepsy, and modulating emotional dysfunctions in depression. Additionally, these neuromodulation strategies aim to regulate excitatory-inhibitory imbalances and restore γ synchrony across neurological and psychiatric disorders. The review highlights the potential of γ oscillations as biomarkers to boost restorative results in clinical applications of neuromodulation. Future studies might focus on integrating multimodal personalized protocols, artificial intelligence (AI) driven frameworks for neural decoding, and global multicenter collaborations to standardize and scale precision treatments across diverse disorders.",literature review,Military Medical Research,1,10.1186/s40779-025-00619-x,https://consensus.app/papers/%CE%B3-neuromodulations-unraveling-biomarkers-for-dai-wen/38d7d03f5547594ebd74430de1ea2105/
Where Top-Down Meets Bottom-Up: Cell-Type Specific Connectivity Map of the Whisker System,"Neuromodulatory projections in the mouse whisker system improve network-wide connectivity, enhancing sensory and motor integration.","Nicolas Rault, Tido Bergmans, Natasja Delfstra, Bisley J. Kleijnen, F. Zeldenrust, T. Celikel",2024,2,"Sensorimotor computation integrates bottom-up world state information with top-down knowledge and task goals to form action plans. In the rodent whisker system, a prime model of active sensing, evidence shows neuromodulatory neurotransmitters shape whisker control, affecting whisking frequency and amplitude. Since neuromodulatory neurotransmitters are mostly released from subcortical nuclei and have long-range projections that reach the rest of the central nervous system, mapping the circuits of top-down neuromodulatory control of sensorimotor nuclei will help to systematically address the mechanisms of active sensing. Therefore, we developed a neuroinformatic target discovery pipeline to mine the Allen Institute's Mouse Brain Connectivity Atlas. Using network connectivity analysis, we identified new putative connections along the whisker system and anatomically confirmed the existence of 42 previously unknown monosynaptic connections. Using this data, we updated the sensorimotor connectivity map of the mouse whisker system and developed the first cell-type-specific map of the network. The map includes 157 projections across 18 principal nuclei of the whisker system and neuromodulatory neurotransmitter-releasing. Performing a graph network analysis of this connectome, we identified cell-type specific hubs, sources, and sinks, provided anatomical evidence for monosynaptic inhibitory projections into all stages of the ascending pathway, and showed that neuromodulatory projections improve network-wide connectivity. These results argue that beyond the modulatory chemical contributions to information processing and transfer in the whisker system, the circuit connectivity features of the neuromodulatory networks position them as nodes of sensory and motor integration.",,Neuroinformatics,1,10.1007/s12021-024-09658-6,https://consensus.app/papers/where-topdown-meets-bottomup-celltype-specific-rault-bergmans/8b0023c7ca2358c5937c06b669e80ebb/
